Unnamed: 0,Time,Lat,Lon,Street,Visibility(km),Wind_Speed(km/h),Precipitation(mm),Astronomical_Twilight,road_closure,Date
240,06:30:00,40.793903,-73.932022,FDR Drive,16.09,9.33,,Day,True,2016-10-25
241,08:30:00,40.758533,-73.988846,West 44th Street,16.09,14.81,,Day,False,2016-10-25
242,12:00:00,40.849724,-73.94304699999998,George Washington Bridge,16.09,9.33,,Day,False,2016-10-26
243,14:00:00,40.851429,-73.951195,George Washington Bridge,16.09,11.1,,Day,True,2016-10-26
244,15:00:00,40.782818,-73.943871,East 96th Street,16.09,,,Day,False,2016-10-26
245,18:00:00,40.785564,-73.984062,Henry Hudson Parkway,16.09,5.63,,Day,False,2016-10-26
246,19:30:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,,,Night,True,2016-10-26
247,10:00:00,40.850067,-73.944817,George Washington Bridge,11.27,14.81,0.25,Day,False,2016-10-27
248,12:30:00,40.747688,-74.004173,West 23rd Street,16.09,9.33,0.25,Day,True,2016-10-27
249,15:00:00,40.74802800000001,-73.96817,FDR Drive,9.66,5.63,0.25,Day,False,2016-10-27
250,18:30:00,40.80416500000001,-73.931038,Harlem River Drive North,1.93,9.33,6.6,Day,True,2016-10-27
251,14:30:00,40.735397,-73.974899,FDR Drive,,,,Day,False,2016-10-30
252,05:30:00,40.797947,-73.940033,East 116th Street,16.09,13.04,,Night,True,2016-10-31
253,06:00:00,40.850067,-73.944817,George Washington Bridge,16.09,13.04,,Day,True,2016-10-31
254,06:00:00,40.850067,-73.944817,George Washington Bridge,16.09,13.04,,Day,False,2016-10-31
255,06:00:00,40.850067,-73.944817,George Washington Bridge,16.09,13.04,,Day,True,2016-10-31
256,06:00:00,40.85015900000001,-73.944473,George Washington Bridge,16.09,13.04,,Day,False,2016-10-31
257,06:30:00,40.849014,-73.937515,West 179th Street,16.09,13.04,,Day,False,2016-10-31
258,09:30:00,40.755348,-73.96167,FDR Drive,16.09,13.04,,Day,False,2016-10-31
259,13:30:00,40.782818,-73.943871,East 96th Street,16.09,7.4,,Day,False,2016-10-31
260,17:30:00,40.71051,-73.984741,FDR Drive,,,,Day,False,2016-10-31
261,05:00:00,40.717663,-73.985573,Williamsburg Bridge West,,,,Night,False,2016-11-01
262,09:30:00,40.707687,-74.000076,FDR Drive,,,,Day,True,2016-11-01
263,14:30:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,7.4,,Day,True,2016-11-01
264,14:30:00,40.782818,-73.943871,East 96th Street,16.09,7.4,,Day,False,2016-11-01
265,16:00:00,40.743195,-73.972115,East 34th Street,16.09,11.1,,Day,False,2016-11-01
266,16:00:00,40.834126,-73.949951,Marginal Street,16.09,11.1,,Day,True,2016-11-01
267,19:00:00,40.804005,-73.927925,WillisAvenue Bridge,16.09,5.63,,Day,False,2016-11-01
268,06:00:00,40.850067,-73.944817,George Washington Bridge,16.09,11.1,,Day,False,2016-11-02
269,06:00:00,40.84584,-73.931061,5th Avenue,16.09,11.1,,Day,False,2016-11-02
270,08:30:00,40.850166,-73.944511,George Washington Bridge,14.48,,,Day,False,2016-11-02
271,10:30:00,40.850067,-73.944817,George Washington Bridge,14.48,,,Day,True,2016-11-02
272,12:30:00,40.782818,-73.943871,East 96th Street,14.48,11.1,,Day,True,2016-11-02
273,14:00:00,40.834126,-73.949951,Marginal Street,14.48,7.4,,Day,True,2016-11-02
274,18:00:00,40.74802800000001,-73.96817,FDR Drive,16.09,5.63,,Day,False,2016-11-02
275,18:30:00,40.718971,-73.974968,E Houston Street,,,,Day,True,2016-11-02
276,22:00:00,40.782818,-73.943871,East 96th Street,16.09,7.4,,Night,True,2016-11-02
277,08:30:00,40.850067,-73.944817,George Washington Bridge,8.05,9.33,,Day,False,2016-11-03
278,08:30:00,40.726158,-74.01162,Holland Tunl East,,,,Day,False,2016-11-03
